2011-02-18 17:00:38.359; Race Status: Initialized; 
2011-02-18 17:06:38.671; Falsestart detected; Mannie; Laps: 0; Penalties: 2 (3 laps left) ; Fuel: 100; Speed Sum: 60; LapTime: ; 
2011-02-18 17:06:38.671; Falsestart detected; Tobi; Laps: 0; Penalties: 2 (3 laps left) ; Fuel: 100; Speed Sum: 80; LapTime: ; 
2011-02-18 17:06:38.796; Falsestart detected; Uwe; Laps: 0; Penalties: 3 (2 laps left) ; Fuel: 100; Speed Sum: 96; LapTime: ; 
2011-02-18 17:06:40.718; Falsestart detected; Mannie; Laps: 0; Penalties: 3 (3 laps left) ; Fuel: 100; Speed Sum: 246; LapTime: ; 
2011-02-18 17:06:40.718; Falsestart detected; Tobi; Laps: 0; Penalties: 3 (3 laps left) ; Fuel: 100; Speed Sum: 328; LapTime: ; 
2011-02-18 17:06:40.828; Falsestart detected; Uwe; Laps: 0; Penalties: 4 (2 laps left) ; Fuel: 100; Speed Sum: 328; LapTime: ; 
2011-02-18 17:06:42.250; Race Status: Started; 
2011-02-18 17:06:46.218; Lap added; Tobi; Laps: 1; Penalties: 3 (2 laps left) ; Fuel: 97,59; Speed Sum: 736; LapTime: 00:09.93; 
2011-02-18 17:06:47.593; Lap added; Mannie; Laps: 1; Penalties: 3 (2 laps left) ; Fuel: 98,07; Speed Sum: 636; LapTime: 00:11.34; 
2011-02-18 17:06:47.734; Lap detected but not added due minimum lap time; Uwe; Laps: 0; Penalties: 4 (2 laps left) ; Fuel: 96,65; Speed Sum: 840; LapTime: ; 
2011-02-18 17:06:53.703; Lap added by autodetection; Uwe; Laps: 1; Penalties: 4 (1 laps left) ; Fuel: 93,09; Speed Sum: 1264; LapTime: ; 
2011-02-18 17:06:56.375; Lap added; Tobi; Laps: 2; Penalties: 3 (1 laps left) ; Fuel: 91,28; Speed Sum: 752; LapTime: 00:09.87; 
2011-02-18 17:06:59.281; Lap added; Mannie; Laps: 2; Penalties: 3 (1 laps left) ; Fuel: 93,96; Speed Sum: 636; LapTime: 00:11.20; 
2011-02-18 17:06:59.921; Lap added; Uwe; Laps: 2; Penalties: 4 (0 laps left) ; Fuel: 89,54; Speed Sum: 424; LapTime: ; 
2011-02-18 17:07:06.156; Lap added; Tobi; Laps: 3; Penalties: 3 (0 laps left) ; Fuel: 85,05; Speed Sum: 744; LapTime: 00:10.23; 
2011-02-18 17:07:09.718; Lap added; Mannie; Laps: 3; Penalties: 3 (0 laps left) ; Fuel: 89,9; Speed Sum: 630; LapTime: 00:11.03; 
2011-02-18 17:07:09.968; Lap detected but not added due penalty or no fuel; Uwe; Laps: 2; Penalties: 4 (X laps left) ; Fuel: 82,5; Speed Sum: 840; LapTime: 00:10.65; 
2011-02-18 17:07:15.593; Lap detected but not added due penalty or no fuel; Tobi; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 78,81; Speed Sum: 744; LapTime: 00:09.42; 
2011-02-18 17:07:21.390; Lap detected but not added due penalty or no fuel; Uwe; Laps: 2; Penalties: 4 (X laps left) ; Fuel: 75,39; Speed Sum: 848; LapTime: 00:10.95; 
2011-02-18 17:07:21.515; Lap detected but not added due penalty or no fuel; Mannie; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 85,8; Speed Sum: 636; LapTime: 00:11.82; 
2011-02-18 17:07:25.531; Lap detected but not added due penalty or no fuel; Tobi; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 72,4; Speed Sum: 761; LapTime: 00:09.82; 
2011-02-18 17:07:32.046; Lap detected but not added due penalty or no fuel; Mannie; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 81,62; Speed Sum: 648; LapTime: 00:10.50; 
2011-02-18 17:07:32.390; Lap detected but not added due penalty or no fuel; Uwe; Laps: 2; Penalties: 4 (X laps left) ; Fuel: 68,15; Speed Sum: 864; LapTime: 00:11.46; 
2011-02-18 17:07:35.453; Lap detected but not added due penalty or no fuel; Tobi; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 66,09; Speed Sum: 752; LapTime: 00:09.90; 
2011-02-18 17:07:43.500; Lap detected but not added due penalty or no fuel; Mannie; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 77,44; Speed Sum: 648; LapTime: 00:11.35; 
2011-02-18 17:07:43.578; Lap detected but not added due penalty or no fuel; Uwe; Laps: 2; Penalties: 4 (X laps left) ; Fuel: 60,9; Speed Sum: 864; LapTime: 00:11.17; 
2011-02-18 17:07:45.359; Lap detected but not added due penalty or no fuel; Tobi; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 59,79; Speed Sum: 752; LapTime: 00:09.90; 
2011-02-18 17:07:54.921; Lap detected but not added due penalty or no fuel; Mannie; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 73,27; Speed Sum: 648; LapTime: 00:11.43; 
2011-02-18 17:07:55.046; Lap detected but not added due penalty or no fuel; Uwe; Laps: 2; Penalties: 4 (X laps left) ; Fuel: 53,66; Speed Sum: 864; LapTime: 00:11.46; 
2011-02-18 17:07:55.062; Lap detected but not added due penalty or no fuel; Tobi; Laps: 3; Penalties: 3 (X laps left) ; Fuel: 53,62; Speed Sum: 736; LapTime: 00:09.84; 
2011-02-18 17:08:02.062; Race Status: Stopped; 
